merchant,provider,problem_type,reason,recommended_manual_action
Zappos,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Zappos,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Abercrombie & Fitch,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Abercrombie & Fitch,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Abercrombie & Fitch,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
AppFolio,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
AppFolio,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Arhaus,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Arhaus,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Academy Sports,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Academy Sports,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
AutoZone,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
AutoZone,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Alibaba,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Alibaba,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Alibaba,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bed Bath & Beyond,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bed Bath & Beyond,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bed Bath & Beyond,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bed Bath & Beyond,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bed Bath & Beyond,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Build-A-Bear Workshop,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Build-A-Bear Workshop,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bath & Body Works,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bath & Body Works,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bath & Body Works,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Best Buy,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Best Buy,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Best Buy,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Best Buy,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Birkenstock,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
BJ's Wholesale Club,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
BJ's Wholesale Club,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Buckle,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Buckle,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Afterpay,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Priceline,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bob's Discount Furniture,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bob's Discount Furniture,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bob's Discount Furniture,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bob's Discount Furniture,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Bob's Discount Furniture,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Brilliant Earth,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Brilliant Earth,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Burlington,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Burlington,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canon,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canon,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Canon,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Cato,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Cato,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Cato,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Chewy,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Columbia,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Columbia,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Columbia,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Columbia Sportswear,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Columbia Sportswear,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Costco Wholesale,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Coursera,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Coursera,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Cricut,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Afterpay,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Carter's,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
OshKosh,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
OshKosh,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
OshKosh,Afterpay,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Crocs,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Crocs,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Crocs,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Crocs,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Crocs,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Torrid,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
DoorDash,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
DoorDash,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dillard's,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dillard's,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dillard's,Afterpay,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HOKA,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HOKA,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
HOKA,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Affirm,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Klarna,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
UGG,Afterpay,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dollar General,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dick's Sporting Goods,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dick's Sporting Goods,Klarna,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Dick's Sporting Goods,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
eBay,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Estee Lauder,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Estee Lauder,Sezzle,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Estee Lauder,Sezzle,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Etsy,Klarna,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Etsy,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Etsy,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Etsy,Zip,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Expedia,Afterpay,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Expedia,Afterpay,wayback_incomplete,Wayback status: no_snapshots.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Expedia,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Expedia,Zip,possible_external_bnpl,Evidence mentions BNPL outside the five-platform sample.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Vrbo,Affirm,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Vrbo,Affirm,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Vrbo,Zip,unknown_timing,No credible operational adoption date found by automated first-pass scraper.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
Vrbo,Zip,subsidiary_parent_scope,Merchant-level BNPL availability may not imply parent-level treatment.,"Review official newsroom/help/payment pages, provider announcements, SEC filings, major news, and targeted Wayback payment-page snapshots."
